20,19,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 11; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
20,20,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
20,21,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: 1; 1,2: 26; 2,2: _],turn_right
20,21,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: 1; 1,2: _; 2,2: 26],move_forward
19,21,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 41; 1,1: 11; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
19,21,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: 41; 1,2: 1; 2,2: _],move_forward
19,20,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
19,20,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
20,20,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
21,20,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
22,20,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
23,20,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
24,20,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
25,20,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,20,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: 66; 0,2: _; 1,2: _; 2,2: 1],turn_left
26,20,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: 66; 0,2: _; 1,2: _; 2,2: 1],move_forward
26,19,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 11; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
