1,12,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 14; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
1,13,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 14; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
1,14,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 14; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
1,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 14; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
1,16,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 14; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
1,16,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 14; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
0,16,down,[0,0: null; 1,0: 1; 2,0: _; 0,1: null; 1,1: 14; 2,1: _; 0,2: null; 1,2: _; 2,2: 1],turn_left
0,16,right,[0,0: null; 1,0: 1; 2,0: _; 0,1: null; 1,1: 14; 2,1: _; 0,2: null; 1,2: _; 2,2: 1],move_forward
0,17,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 14; 2,1: 1; 0,2: null; 1,2: _; 2,2: _],move_forward
0,18,right,[0,0: null; 1,0: _; 2,0: 1; 0,1: null; 1,1: 14; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,19,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 14; 2,1: _; 0,2: null; 1,2: 1; 2,2: 1],turn_left
0,19,up,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 14; 2,1: _; 0,2: null; 1,2: 1; 2,2: 1],move_forward
1,19,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 14; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
2,19,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 14; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
3,19,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 14; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,19,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 14; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,19,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 14; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
6,19,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 14; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
7,19,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 14; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
8,19,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 14; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
9,19,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 14; 2,1: 1; 0,2: 1; 1,2: 1; 2,2: _],turn_right
9,19,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 14; 2,1: 1; 0,2: 1; 1,2: 1; 2,2: _],turn_left
9,19,up,[0,0: 1; 1,0: _; 2,0: 73; 0,1: _; 1,1: 14; 2,1: 1; 0,2: 1; 1,2: 1; 2,2: _],turn_right
