78,35,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 15; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
78,36,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 15; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
78,37,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 15; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
78,38,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 15; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
78,39,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 15; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
78,40,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 15; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
78,41,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 15; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
78,41,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 15; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
77,41,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 15; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
76,41,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 15; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,41,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 15; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
74,41,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 15; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
73,41,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 15; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
73,41,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 15; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
73,41,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 15; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
74,41,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 15; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
