58,40,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 16; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
58,41,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 16; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
58,41,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 16; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
57,41,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 16; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
56,41,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 16; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
55,41,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 16; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
54,41,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 16; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
53,41,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 16; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
52,41,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 16; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
51,41,down,[0,0: 88; 1,0: _; 2,0: _; 0,1: _; 1,1: 16; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,41,down,[0,0: 1; 1,0: 88; 2,0: _; 0,1: _; 1,1: 16; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
49,41,down,[0,0: _; 1,0: 1; 2,0: 88; 0,1: _; 1,1: 16; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
48,41,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 16; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
48,41,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 16; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
48,40,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 16; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
