89,27,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 17; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
89,27,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 17; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
88,27,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
87,27,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
86,27,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
85,27,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
84,27,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
83,27,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
82,27,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
81,27,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
80,27,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 17; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_right
80,27,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 17; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
80,26,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
80,25,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
80,24,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
80,23,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
80,23,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
79,23,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 17; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
79,23,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 17; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
79,22,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 17; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_left
79,22,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 17; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
78,22,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 17; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
77,22,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],move_forward
76,22,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 17; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
75,22,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
75,22,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
75,23,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: 1; 0,2: _; 1,2: 20; 2,2: _],turn_right
75,23,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 17; 2,1: 1; 0,2: _; 1,2: _; 2,2: 20],move_forward
74,23,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 17; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
