6,12,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 18; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
6,13,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
6,13,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
7,13,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
8,13,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
9,13,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
10,13,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
11,13,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
12,13,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
13,13,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
14,13,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
15,13,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
16,13,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
17,13,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
18,13,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: 1; 0,2: 1; 1,2: _; 2,2: 30],turn_right
18,13,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: 1; 0,2: 1; 1,2: 30; 2,2: _],turn_right
18,13,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: 1; 0,2: 1; 1,2: 30; 2,2: _],move_forward
17,13,down,[0,0: 99; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: 30; 0,2: _; 1,2: 1; 2,2: _],move_forward
16,13,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
15,13,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
14,13,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
13,13,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
12,13,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
11,13,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
10,13,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
9,13,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
8,13,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
7,13,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
6,13,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
5,13,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
5,13,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 18; 2,1: _; 0,2: 84; 1,2: _; 2,2: 1],move_forward
5,12,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
5,11,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,10,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,9,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,8,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
5,7,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
5,6,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
5,5,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 18; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
