31,3,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
31,4,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 19; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,5,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
31,6,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 19; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
31,7,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
31,8,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,9,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: 87; 2,2: _],turn_right
31,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: 87; 1,2: _; 2,2: 32],move_forward
30,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: 87; 1,2: _; 2,2: 32],move_forward
29,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: 1; 1,2: 87; 2,2: 32],move_forward
28,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: 87; 0,2: _; 1,2: 1; 2,2: 32],move_forward
27,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
26,9,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
25,9,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 19; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
25,9,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 19; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
25,9,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 19; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
26,9,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: 67; 0,2: 1; 1,2: _; 2,2: _],turn_right
26,9,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: 1; 1,2: _; 2,2: 67],move_forward
26,10,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 19; 2,1: 67; 0,2: _; 1,2: _; 2,2: 50],move_forward
26,11,right,[0,0: 1; 1,0: 67; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,12,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,13,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,14,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
26,15,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
25,15,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
24,15,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 19; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
