11,30,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
11,31,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
11,32,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
11,33,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
11,34,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],turn_right
11,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],move_forward
10,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 2; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_left
10,34,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 2; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_right
10,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 2; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_right
10,34,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 2; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
10,33,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
10,32,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
10,31,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
10,31,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
11,31,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
12,31,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
13,31,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
13,31,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
13,30,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
13,29,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
13,28,left,[0,0: _; 1,0: _; 2,0: 37; 0,1: 1; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
13,27,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_right
13,27,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
14,27,up,[0,0: 1; 1,0: _; 2,0: 37; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
15,27,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
15,27,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
15,28,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
15,29,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
15,30,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],turn_right
15,30,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],move_forward
