68,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
68,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
67,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
67,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
67,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
67,49,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
67,48,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
67,48,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
66,48,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 21; 2,1: _; 0,2: 75; 1,2: 1; 2,2: _],move_forward
65,48,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: _; 1,2: 75; 2,2: 1],move_forward
64,48,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: _; 1,2: _; 2,2: 75],move_forward
63,48,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
62,48,down,[0,0: _; 1,0: 63; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
61,48,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 75; 1,1: 21; 2,1: 63; 0,2: _; 1,2: _; 2,2: _],turn_left
61,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: 75; 1,2: _; 2,2: 63],move_forward
61,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 75; 1,1: 21; 2,1: 63; 0,2: null; 1,2: null; 2,2: null],turn_left
61,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 75; 1,1: 21; 2,1: 63; 0,2: null; 1,2: null; 2,2: null],turn_right
61,49,right,[0,0: 75; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: 63; 0,2: null; 1,2: null; 2,2: null],turn_left
61,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
62,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
63,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
64,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: 63; 0,2: null; 1,2: null; 2,2: null],turn_right
64,49,right,[0,0: _; 1,0: _; 2,0: 63; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
64,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
65,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
65,49,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],move_forward
65,48,left,[0,0: _; 1,0: 63; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
65,48,up,[0,0: _; 1,0: 63; 2,0: 75; 0,1: _; 1,1: 21; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
66,48,up,[0,0: 63; 1,0: 75; 2,0: 1; 0,1: _; 1,1: 21; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
67,48,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: 75; 1,1: 21; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
68,48,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,48,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,48,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
70,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
70,49,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
70,49,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
69,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
68,49,down,[0,0: 75; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
67,49,down,[0,0: _; 1,0: 75; 2,0: _; 0,1: 1; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
67,49,left,[0,0: _; 1,0: 75; 2,0: _; 0,1: 1; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
67,49,up,[0,0: _; 1,0: 75; 2,0: _; 0,1: 1; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
68,49,up,[0,0: 75; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
69,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
70,49,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
71,49,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 21; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
