53,1,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
53,2,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 22; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
53,3,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
53,4,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
53,5,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 22; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
53,5,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 22; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
53,5,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 22; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
53,5,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 22; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
54,5,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 22; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
55,5,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
56,5,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
57,5,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
58,5,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_left
58,5,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
58,4,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
58,3,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
58,2,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
58,1,left,[0,0: 86; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
58,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
58,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
57,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: 86; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
57,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: 86; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
57,1,right,[0,0: 86; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
57,2,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
57,2,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
56,2,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 22; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
55,2,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
55,2,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
55,1,left,[0,0: _; 1,0: _; 2,0: 86; 0,1: 1; 1,1: 22; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
55,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 22; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_right
55,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: 86; 1,1: 22; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
56,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: 86; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
57,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: 86; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
58,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: 86; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
59,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: 86; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
60,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: 86; 1,1: 22; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
61,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: 86; 1,1: 22; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
62,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: 86; 1,1: 22; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
