65,36,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: 1; 1,2: 68; 2,2: _],turn_left
65,36,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
66,36,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,36,up,[0,0: _; 1,0: _; 2,0: 24; 0,1: _; 1,1: 23; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
67,36,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
67,35,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
67,35,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
68,35,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: 24; 0,2: 97; 1,2: 1; 2,2: _],turn_left
68,35,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: 97; 1,1: 23; 2,1: 24; 0,2: _; 1,2: 1; 2,2: _],move_forward
68,34,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 23; 2,1: _; 0,2: 97; 1,2: _; 2,2: 24],move_forward
68,33,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 23; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
68,32,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: 1; 1,2: _; 2,2: 64],move_forward
68,31,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
68,31,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,31,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,31,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 23; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
70,31,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 23; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
70,32,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,33,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,34,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: 24; 1,2: _; 2,2: 64],move_forward
70,35,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 24; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,36,right,[0,0: 24; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_left
70,36,up,[0,0: 24; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
71,36,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: 1; 0,2: 1; 1,2: 1; 2,2: _],turn_right
71,36,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: 1; 0,2: 1; 1,2: 1; 2,2: _],turn_right
71,36,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: 1; 0,2: 1; 1,2: 1; 2,2: _],move_forward
70,36,down,[0,0: 24; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
69,36,down,[0,0: 6; 1,0: 24; 2,0: _; 0,1: 1; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
69,36,right,[0,0: _; 1,0: 24; 2,0: 64; 0,1: 1; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
69,37,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
69,38,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 23; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
69,39,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 23; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
69,40,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 23; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
69,41,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,42,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,43,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 68; 2,2: 1],turn_right
69,43,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 68; 2,2: 1],move_forward
68,43,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 68; 2,2: _],move_forward
67,43,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 68; 2,2: _],move_forward
66,43,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 68; 2,2: _],move_forward
65,43,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 68; 2,2: _],move_forward
64,43,down,[0,0: 1; 1,0: 63; 2,0: 1; 0,1: 1; 1,1: 23; 2,1: _; 0,2: _; 1,2: 68; 2,2: _],turn_left
64,43,right,[0,0: 1; 1,0: 63; 2,0: 1; 0,1: 1; 1,1: 23; 2,1: _; 0,2: 68; 1,2: _; 2,2: _],move_forward
64,44,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
64,44,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 23; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
