84,14,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 27; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
84,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 27; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
84,15,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 27; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
84,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 27; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
84,15,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 27; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
84,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 27; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
84,15,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 27; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
84,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 27; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
84,15,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 27; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
84,15,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 27; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
84,14,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 27; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
84,13,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 27; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
84,12,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 27; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
84,11,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 27; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
84,11,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 27; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
