17,29,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
17,30,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 28; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
17,31,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 28; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
17,32,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
17,33,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
17,34,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
17,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
16,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
15,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
14,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
13,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
12,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
11,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],move_forward
10,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 28; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_right
10,34,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 28; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
10,33,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
10,32,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
10,31,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
10,31,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
9,31,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
8,31,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
7,31,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
6,31,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,31,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,31,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 28; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
