99,15,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,16,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,17,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],turn_right
99,17,down,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],move_forward
98,17,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
97,17,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
96,17,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
95,17,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
95,17,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
95,17,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
95,17,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
95,17,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
96,17,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
97,17,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
98,17,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
99,17,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],turn_right
