38,10,right,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
38,10,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
37,10,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
36,10,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
35,10,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
34,10,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
33,10,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
32,10,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
31,10,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
30,10,down,[0,0: 87; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
29,10,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 32; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
29,10,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 32; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,9,left,[0,0: _; 1,0: 87; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
29,9,down,[0,0: _; 1,0: 87; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
28,9,down,[0,0: _; 1,0: _; 2,0: 87; 0,1: 19; 1,1: 32; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
28,9,left,[0,0: 67; 1,0: _; 2,0: 87; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
28,8,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: 87; 0,2: 67; 1,2: _; 2,2: _],move_forward
28,7,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: _; 2,2: 87],turn_right
28,7,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: _; 2,2: 87],move_forward
29,7,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 32; 2,1: _; 0,2: _; 1,2: 87; 2,2: _],move_forward
30,7,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: 87; 1,2: _; 2,2: _],move_forward
31,7,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
31,7,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
31,6,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 32; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
31,5,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 32; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
31,4,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 32; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
