66,10,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 34; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
66,11,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,12,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,13,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
66,13,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
65,13,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
65,13,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
65,12,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_right
65,12,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
66,12,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,12,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
68,12,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
68,12,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
68,11,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
68,10,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
68,9,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
68,9,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,9,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,9,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 34; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_right
70,9,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 34; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
70,10,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 34; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
70,11,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 34; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
70,12,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
70,13,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
70,14,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 34; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
70,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,16,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
70,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
70,18,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,19,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,20,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
70,20,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
69,20,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],move_forward
68,20,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
67,20,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
66,20,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
66,20,right,[0,0: _; 1,0: _; 2,0: 92; 0,1: 1; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,21,right,[0,0: 1; 1,0: _; 2,0: 92; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,22,right,[0,0: _; 1,0: _; 2,0: 92; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,23,right,[0,0: _; 1,0: _; 2,0: 92; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,24,right,[0,0: _; 1,0: _; 2,0: 92; 0,1: _; 1,1: 34; 2,1: _; 0,2: _; 1,2: 97; 2,2: 1],turn_right
66,24,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: 92; 0,2: _; 1,2: 97; 2,2: 1],move_forward
65,24,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 34; 2,1: 97; 0,2: _; 1,2: _; 2,2: _],move_forward
