25,2,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
25,2,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
24,2,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
23,2,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 36; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
22,2,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
21,2,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 61; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
21,2,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: 61; 1,2: _; 2,2: 1],move_forward
21,3,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: 1; 0,2: 61; 1,2: _; 2,2: _],move_forward
21,4,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 36; 2,1: _; 0,2: 61; 1,2: _; 2,2: _],move_forward
21,5,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: 61; 1,2: _; 2,2: 1],move_forward
21,6,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: 1; 0,2: 61; 1,2: _; 2,2: _],move_forward
21,7,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 36; 2,1: _; 0,2: 61; 1,2: _; 2,2: _],move_forward
21,8,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: 61; 1,2: _; 2,2: _],move_forward
21,9,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 61; 1,1: 36; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
21,10,right,[0,0: _; 1,0: 61; 2,0: _; 0,1: 1; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
21,11,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
21,12,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: 1; 0,2: 1; 1,2: 1; 2,2: _],turn_right
21,12,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: 1; 0,2: 1; 1,2: 1; 2,2: _],move_forward
20,12,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],move_forward
19,12,down,[0,0: 30; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
18,12,down,[0,0: 99; 1,0: 30; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
17,12,down,[0,0: _; 1,0: 99; 2,0: 30; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
16,12,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
15,12,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
14,12,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
13,12,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
12,12,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
11,12,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
11,12,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
11,13,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
11,14,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
11,14,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
10,14,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
9,14,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
8,14,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
7,14,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
7,14,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
7,15,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
7,16,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
7,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
7,18,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 36; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
7,19,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 36; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
7,20,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 36; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
7,21,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 36; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
7,22,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 36; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
