35,25,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
35,26,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
35,27,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
35,28,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
35,28,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
34,28,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
33,28,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
32,28,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,28,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
31,28,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,29,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
31,30,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
31,31,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,32,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
31,33,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,34,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_left
31,34,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
32,34,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
33,34,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
34,34,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
35,34,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
36,34,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
37,34,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 38; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_right
37,34,right,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 38; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
37,35,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
37,36,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
37,37,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
37,37,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
38,37,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 38; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
39,37,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
40,37,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
41,37,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
42,37,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
43,37,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
44,37,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
45,37,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
46,37,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
47,37,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
47,37,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
47,36,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
47,35,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
47,34,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
47,33,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 38; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
