30,23,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 40; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
30,23,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 40; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
29,23,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 40; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
28,23,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 40; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
27,23,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 40; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
26,23,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 40; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
25,23,down,[0,0: _; 1,0: 26; 2,0: _; 0,1: _; 1,1: 40; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
24,23,down,[0,0: 72; 1,0: _; 2,0: _; 0,1: _; 1,1: 40; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
23,23,down,[0,0: _; 1,0: 72; 2,0: _; 0,1: _; 1,1: 40; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
22,23,down,[0,0: _; 1,0: 71; 2,0: _; 0,1: 1; 1,1: 40; 2,1: 72; 0,2: _; 1,2: 1; 2,2: _],turn_right
22,23,left,[0,0: _; 1,0: 71; 2,0: _; 0,1: 1; 1,1: 40; 2,1: _; 0,2: _; 1,2: 1; 2,2: 72],turn_right
22,23,up,[0,0: _; 1,0: _; 2,0: 71; 0,1: 1; 1,1: 40; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
23,23,up,[0,0: _; 1,0: 71; 2,0: _; 0,1: _; 1,1: 40; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
24,23,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 71; 1,1: 40; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
25,23,up,[0,0: _; 1,0: _; 2,0: 26; 0,1: _; 1,1: 40; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
26,23,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 40; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
27,23,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 40; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
