18,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 73; 1,1: 41; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
18,18,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 73; 1,1: 41; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
18,19,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 73; 1,1: 41; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
18,20,right,[0,0: 73; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 41; 2,1: _; 0,2: _; 1,2: _; 2,2: 11],move_forward
18,21,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: 11; 0,2: 1; 1,2: _; 2,2: 1],move_forward
18,22,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 41; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
18,23,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 41; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
18,24,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 41; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
18,25,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
18,25,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
19,25,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
20,25,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
20,25,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
20,26,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
20,26,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
21,26,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
22,26,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
23,26,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 41; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
24,26,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
25,26,up,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
26,26,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
27,26,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
28,26,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,26,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
30,26,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
31,26,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: 1; 0,2: 1; 1,2: _; 2,2: 1],turn_left
31,26,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: 1; 0,2: 1; 1,2: _; 2,2: 1],move_forward
31,25,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
31,24,left,[0,0: 40; 1,0: _; 2,0: _; 0,1: 1; 1,1: 41; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,23,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 41; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
31,23,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 41; 2,1: 53; 0,2: 1; 1,2: _; 2,2: _],move_forward
30,23,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 40; 1,1: 41; 2,1: 53; 0,2: _; 1,2: 1; 2,2: _],turn_right
30,23,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 40; 1,1: 41; 2,1: 53; 0,2: _; 1,2: 1; 2,2: _],move_forward
30,22,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: 1; 0,2: 40; 1,2: _; 2,2: _],move_forward
30,21,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
30,21,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
31,21,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
32,21,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: 62; 0,2: 1; 1,2: 1; 2,2: _],turn_right
32,21,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: 62; 0,2: 1; 1,2: 1; 2,2: _],turn_right
32,21,down,[0,0: _; 1,0: _; 2,0: 62; 0,1: _; 1,1: 41; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
31,21,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
30,21,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 41; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
29,21,down,[0,0: 13; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 41; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
28,21,down,[0,0: _; 1,0: 13; 2,0: 1; 0,1: 1; 1,1: 41; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_left
