10,46,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: 79; 1,2: _; 2,2: _],move_forward
10,47,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 43; 2,1: _; 0,2: 79; 1,2: _; 2,2: 1],move_forward
10,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 79; 1,1: 43; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
10,49,right,[0,0: _; 1,0: 79; 2,0: 1; 0,1: 1; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
10,49,up,[0,0: _; 1,0: 79; 2,0: 1; 0,1: 1; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
11,49,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 79; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
12,49,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
13,49,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
14,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,right,[0,0: _; 1,0: _; 2,0: 49; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
14,49,up,[0,0: _; 1,0: _; 2,0: 49; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
14,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
14,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
14,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
14,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],move_forward
13,49,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
12,49,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
11,49,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 79; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
11,49,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 79; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
11,49,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 79; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
12,49,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
13,49,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
14,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
14,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
14,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],move_forward
13,49,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
12,49,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
11,49,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 79; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
11,49,right,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 79; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
11,49,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 79; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
12,49,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
13,49,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
14,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
14,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 43; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
