39,15,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 44; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
39,16,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: 1; 2,2: 95],turn_left
39,16,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: 1; 2,2: 95],move_forward
40,16,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: 1; 1,2: 95; 2,2: _],move_forward
41,16,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: 95; 1,2: _; 2,2: _],move_forward
42,16,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
43,16,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
43,16,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
43,15,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,14,left,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
43,13,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 44; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
43,12,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
43,11,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
43,11,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
43,11,right,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
43,12,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
43,13,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 44; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
43,14,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
43,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,16,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
43,17,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 44; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
43,18,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: 94; 2,2: _],turn_right
43,18,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: 94],turn_right
43,18,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: 94],move_forward
43,17,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 44; 2,1: _; 0,2: 1; 1,2: _; 2,2: 94],move_forward
43,16,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: 1; 0,2: _; 1,2: _; 2,2: 94],move_forward
43,15,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,14,left,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
43,13,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 44; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
43,12,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
43,11,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
43,11,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
44,11,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 44; 2,1: 77; 0,2: _; 1,2: _; 2,2: _],turn_right
44,11,right,[0,0: 1; 1,0: 1; 2,0: 77; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
44,12,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
44,12,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
43,12,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
42,12,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
42,12,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
42,12,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 44; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
43,12,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
44,12,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: _; 1,2: 1; 2,2: 77],move_forward
45,12,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: _; 0,2: 1; 1,2: 77; 2,2: _],move_forward
46,12,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 44; 2,1: 1; 0,2: 77; 1,2: _; 2,2: _],turn_right
