45,27,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,28,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,29,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,30,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
45,31,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 45; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
45,32,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,33,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,34,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,35,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
45,36,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,37,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: 1; 1,2: 39; 2,2: _],turn_right
45,37,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: 1; 1,2: _; 2,2: 39],move_forward
44,37,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
43,37,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
42,37,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
41,37,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
40,37,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 45; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
