16,42,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: 9; 0,2: 1; 1,2: _; 2,2: 1],move_forward
16,43,right,[0,0: _; 1,0: _; 2,0: 9; 0,1: 1; 1,1: 49; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
16,44,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
16,44,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
15,44,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
15,44,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
15,45,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
15,46,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 49; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
15,47,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
15,48,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: 43; 1,2: 1; 2,2: _],turn_left
15,48,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: 43; 1,2: 1; 2,2: _],move_forward
16,48,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 49; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
17,48,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
18,48,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
19,48,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
20,48,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
21,48,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 49; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
21,48,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 49; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
21,49,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 49; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
21,49,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 49; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
22,49,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
23,49,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
24,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
25,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
25,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
25,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
25,49,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],move_forward
25,48,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
25,47,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
25,47,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,47,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,47,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
28,47,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,47,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
30,47,up,[0,0: _; 1,0: _; 2,0: 45; 0,1: _; 1,1: 49; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,47,up,[0,0: _; 1,0: 45; 2,0: _; 0,1: _; 1,1: 49; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
31,47,left,[0,0: _; 1,0: _; 2,0: 45; 0,1: _; 1,1: 49; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
