15,14,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
15,14,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
16,14,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_left
16,14,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
16,13,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
16,12,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
16,11,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
16,11,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
17,11,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
18,11,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
19,11,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
20,11,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
21,11,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
22,11,up,[0,0: 36; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
23,11,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
24,11,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
25,11,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,11,up,[0,0: 1; 1,0: 19; 2,0: 67; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,11,up,[0,0: _; 1,0: 67; 2,0: 1; 0,1: 19; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
28,11,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,11,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
30,11,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_right
30,11,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
30,12,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 50; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
30,13,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
30,14,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
30,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
30,16,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 50; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
30,17,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
30,18,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
30,19,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
30,19,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
29,19,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 50; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_right
29,19,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 50; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
29,18,left,[0,0: _; 1,0: _; 2,0: 11; 0,1: _; 1,1: 50; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
29,17,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 50; 2,1: 11; 0,2: _; 1,2: _; 2,2: _],turn_left
29,17,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: 11],move_forward
28,17,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 50; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
