54,33,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
54,34,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
54,35,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],turn_right
54,35,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],move_forward
53,35,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
52,35,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
51,35,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
50,35,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 52; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],turn_right
50,35,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 52; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
50,34,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
50,33,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
50,32,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,31,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,30,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
50,29,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
50,28,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_right
50,28,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
51,28,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
52,28,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
53,28,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
53,28,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
53,27,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
53,26,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 52; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
53,26,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 52; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
53,26,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 52; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
53,26,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 52; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
52,26,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
51,26,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 52; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
51,26,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 52; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
51,27,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
51,28,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
51,29,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
51,29,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
50,29,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
50,29,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
50,28,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
50,28,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
49,28,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
48,28,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
47,28,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
46,28,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,28,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
44,28,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
44,28,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 52; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
