72,14,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
72,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
72,15,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
72,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
72,15,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
72,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
72,15,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
71,15,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
70,15,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
70,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,16,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
70,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
70,18,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,19,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
70,20,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
70,20,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
69,20,down,[0,0: 69; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: 1; 1,2: 1; 2,2: 1],move_forward
68,20,down,[0,0: _; 1,0: _; 2,0: 69; 0,1: _; 1,1: 54; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
67,20,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
66,20,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
66,20,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,21,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,22,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,23,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 54; 2,1: _; 0,2: 101; 1,2: _; 2,2: _],move_forward
66,24,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 101; 1,1: 54; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
66,25,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 101; 1,1: 54; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
66,26,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 101; 1,1: 54; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
66,27,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 101; 1,1: 54; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
66,28,right,[0,0: 101; 1,0: _; 2,0: _; 0,1: 1; 1,1: 54; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
66,28,down,[0,0: _; 1,0: 101; 2,0: _; 0,1: 1; 1,1: 54; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_left
66,28,right,[0,0: _; 1,0: _; 2,0: 101; 0,1: 1; 1,1: 54; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_left
66,28,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 54; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
67,28,up,[0,0: _; 1,0: _; 2,0: 101; 0,1: _; 1,1: 54; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
68,28,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
68,28,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
68,28,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
67,28,down,[0,0: _; 1,0: _; 2,0: 101; 0,1: _; 1,1: 54; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
66,28,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 54; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
66,28,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 54; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
66,27,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 54; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
66,26,left,[0,0: _; 1,0: 97; 2,0: 1; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
66,26,up,[0,0: _; 1,0: 97; 2,0: 1; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
66,26,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
66,25,left,[0,0: _; 1,0: _; 2,0: 92; 0,1: _; 1,1: 54; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
