65,41,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
65,41,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_right
65,41,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
65,41,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
65,41,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_right
65,41,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
65,41,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_right
65,41,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_right
65,41,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
65,41,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_right
65,41,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
65,41,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
65,41,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
65,41,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 55; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],move_forward
64,41,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 55; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
63,41,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 55; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
62,41,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 55; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
61,41,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 55; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
