7,2,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 56; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
7,2,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 56; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
7,2,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 56; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
7,2,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 56; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
8,2,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 56; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_right
8,2,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 56; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
8,3,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 56; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
8,4,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 56; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_right
8,4,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 56; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
7,4,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 56; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
6,4,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 56; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,4,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 56; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,4,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 56; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
3,4,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 56; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
2,4,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 56; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
2,4,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 56; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
2,3,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 56; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_left
2,3,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 56; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
1,3,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 56; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
0,3,down,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 56; 2,1: _; 0,2: null; 1,2: _; 2,2: 1],turn_right
0,3,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 56; 2,1: _; 0,2: null; 1,2: _; 2,2: 1],move_forward
0,2,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 56; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,1,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 56; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: null; 1,1: 56; 2,1: _; 0,2: null; 1,2: _; 2,2: _],turn_right
0,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: null; 1,1: 56; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
1,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 56; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
1,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 56; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
1,1,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 56; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
