43,46,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,47,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
43,47,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
43,47,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],move_forward
43,46,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,45,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
43,44,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,43,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
43,42,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
43,42,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
43,42,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
43,42,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
43,42,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
43,43,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
43,44,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,45,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
43,46,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,47,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_right
43,47,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],move_forward
42,47,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
41,47,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
40,47,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
39,47,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
38,47,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
37,47,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
37,47,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
37,47,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
38,47,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
39,47,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
40,47,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
41,47,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
42,47,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,47,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
43,47,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],move_forward
43,46,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,45,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
43,44,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
43,43,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 57; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
43,42,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
43,42,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 57; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
