48,25,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
48,25,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
49,25,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
50,25,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
51,25,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
52,25,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
52,25,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
52,24,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
52,23,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
52,22,left,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
52,22,up,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
53,22,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
53,22,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
53,23,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
53,24,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
53,24,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
54,24,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
55,24,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
56,24,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
56,24,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
56,23,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
56,23,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
57,23,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
58,23,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 58; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
59,23,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
60,23,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
61,23,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
61,23,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
61,22,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
61,21,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
61,21,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
62,21,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
63,21,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
63,21,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
63,20,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
63,19,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
63,18,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
63,17,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
63,17,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 58; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
62,17,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
61,17,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
60,17,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
59,17,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
59,17,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 58; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
