75,39,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 6; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_right
75,39,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 6; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
75,39,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 6; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
75,39,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 6; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_left
75,39,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 6; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],move_forward
75,38,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: 1; 0,2: 1; 1,2: _; 2,2: 1],move_forward
75,37,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
75,36,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
75,35,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
75,34,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: _; 0,2: 24; 1,2: _; 2,2: _],move_forward
75,33,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,32,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 6; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
75,31,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 6; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
75,31,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 6; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
74,31,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
73,31,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
72,31,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
72,31,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
72,32,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
72,33,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],turn_right
72,33,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: 1; 0,2: _; 1,2: 1; 2,2: 1],move_forward
71,33,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
70,33,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,33,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 6; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
