21,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
21,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
20,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
20,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
20,1,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 1; 0,2: _; 1,2: _; 2,2: 36],move_forward
20,2,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 61; 2,1: 36; 0,2: _; 1,2: _; 2,2: _],move_forward
20,3,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 36; 0,2: _; 1,2: _; 2,2: _],move_forward
20,4,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 36; 0,2: _; 1,2: _; 2,2: _],move_forward
20,5,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 36; 0,2: _; 1,2: _; 2,2: _],move_forward
20,6,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 36; 0,2: _; 1,2: _; 2,2: _],move_forward
20,7,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 36; 0,2: _; 1,2: _; 2,2: _],move_forward
20,8,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 36; 0,2: _; 1,2: _; 2,2: _],move_forward
20,9,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 36; 0,2: _; 1,2: 1; 2,2: _],turn_left
20,9,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: 1; 2,2: 36],move_forward
21,9,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
22,9,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
22,9,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
22,8,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
22,7,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
22,7,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
23,7,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
24,7,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
25,7,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
26,7,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
27,7,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
28,7,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,7,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
30,7,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,7,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
31,7,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
31,8,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,9,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,10,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 61; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
