67,42,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,43,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,44,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_right
67,44,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
66,44,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
65,44,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
64,44,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
63,44,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
62,44,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
62,44,right,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
62,45,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
62,46,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
62,47,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: 21; 1,2: _; 2,2: _],move_forward
62,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 21; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
62,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 21; 1,1: 63; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
62,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 21; 1,1: 63; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
62,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 21; 1,1: 63; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
62,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 21; 1,1: 63; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
63,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 21; 1,1: 63; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
64,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 21; 1,1: 63; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
65,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 21; 1,1: 63; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_left
65,49,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 21; 1,1: 63; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],move_forward
65,48,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: 21; 1,2: _; 2,2: 1],move_forward
65,47,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
65,46,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: 1; 0,2: 75; 1,2: _; 2,2: _],move_forward
65,45,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
65,44,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 63; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
65,43,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
65,43,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 63; 2,1: _; 0,2: 68; 1,2: _; 2,2: _],move_forward
64,43,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: 68],turn_right
64,43,left,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 63; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
64,42,left,[0,0: 8; 1,0: _; 2,0: 55; 0,1: 1; 1,1: 63; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
64,41,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 8; 1,1: 63; 2,1: 55; 0,2: 1; 1,2: _; 2,2: 1],turn_left
64,41,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 8; 1,1: 63; 2,1: 55; 0,2: 1; 1,2: _; 2,2: 1],turn_right
64,41,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 8; 1,1: 63; 2,1: 55; 0,2: 1; 1,2: _; 2,2: 1],turn_right
64,41,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 63; 2,1: 55; 0,2: 1; 1,2: _; 2,2: 1],turn_left
64,41,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 63; 2,1: 55; 0,2: 1; 1,2: _; 2,2: 1],turn_right
64,41,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 63; 2,1: 55; 0,2: 1; 1,2: _; 2,2: 1],turn_left
64,41,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 63; 2,1: 55; 0,2: 1; 1,2: _; 2,2: 1],turn_right
64,41,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 63; 2,1: 55; 0,2: 1; 1,2: _; 2,2: 1],turn_right
64,41,right,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 63; 2,1: 55; 0,2: 1; 1,2: _; 2,2: 1],move_forward
64,42,right,[0,0: _; 1,0: _; 2,0: 55; 0,1: 1; 1,1: 63; 2,1: 1; 0,2: 1; 1,2: 23; 2,2: _],turn_left
64,42,up,[0,0: _; 1,0: _; 2,0: 55; 0,1: 1; 1,1: 63; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_left
64,42,left,[0,0: _; 1,0: _; 2,0: 55; 0,1: 1; 1,1: 63; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
