24,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 67; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_left
24,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 67; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
25,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 67; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
26,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 67; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 67; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
27,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 67; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
27,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 67; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
27,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 67; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
27,1,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 67; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
27,2,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 67; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,3,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 67; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,4,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 67; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
27,5,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 67; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
27,6,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 67; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
27,7,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 67; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,8,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 67; 2,1: 32; 0,2: 19; 1,2: _; 2,2: _],move_forward
27,9,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 19; 1,1: 67; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
27,10,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 19; 1,1: 67; 2,1: 1; 0,2: _; 1,2: 50; 2,2: _],turn_right
27,10,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 67; 2,1: 1; 0,2: 19; 1,2: _; 2,2: 50],move_forward
