65,37,right,[0,0: _; 1,0: 23; 2,0: _; 0,1: 1; 1,1: 68; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
65,38,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 68; 2,1: 1; 0,2: _; 1,2: 97; 2,2: _],turn_right
65,38,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 68; 2,1: 1; 0,2: _; 1,2: _; 2,2: 97],turn_left
65,38,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 68; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
65,39,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 68; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_left
65,39,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 68; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
66,39,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 68; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
67,39,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 68; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
67,39,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 68; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
67,38,left,[0,0: _; 1,0: 97; 2,0: _; 0,1: 1; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
67,38,down,[0,0: _; 1,0: 97; 2,0: _; 0,1: 1; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
67,38,left,[0,0: _; 1,0: 97; 2,0: _; 0,1: 1; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
67,38,down,[0,0: _; 1,0: 97; 2,0: _; 0,1: 1; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
67,38,right,[0,0: _; 1,0: 97; 2,0: _; 0,1: 1; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
67,39,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 68; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
67,40,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 68; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
67,41,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 68; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
67,42,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,43,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,44,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 68; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_right
67,44,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 68; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
66,44,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
65,44,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 68; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
64,44,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 68; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
63,44,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
62,44,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
62,44,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 68; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
