2,49,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 70; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
2,49,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 70; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
1,49,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 70; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
0,49,down,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 70; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
0,49,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 70; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
0,48,left,[0,0: null; 1,0: _; 2,0: 1; 0,1: null; 1,1: 70; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,47,left,[0,0: null; 1,0: _; 2,0: 1; 0,1: null; 1,1: 70; 2,1: 1; 0,2: null; 1,2: _; 2,2: _],move_forward
0,46,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 70; 2,1: 1; 0,2: null; 1,2: _; 2,2: 1],move_forward
0,45,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 70; 2,1: _; 0,2: null; 1,2: _; 2,2: 1],move_forward
0,44,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 70; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,43,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 70; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,42,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 70; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,41,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 70; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,40,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 70; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
