22,15,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: 30; 1,2: _; 2,2: _],move_forward
22,16,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: 30; 1,2: _; 2,2: _],move_forward
22,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 30; 1,1: 71; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
22,18,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
22,19,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
22,20,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
22,21,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: 1; 0,2: _; 1,2: 72; 2,2: _],turn_left
22,21,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: 1; 0,2: _; 1,2: _; 2,2: 72],turn_right
22,21,right,[0,0: 11; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: 1; 0,2: _; 1,2: _; 2,2: 72],move_forward
22,22,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 71; 2,1: _; 0,2: 1; 1,2: 40; 2,2: 72],turn_left
22,22,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 71; 2,1: _; 0,2: 1; 1,2: 40; 2,2: _],move_forward
23,22,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 71; 2,1: 26; 0,2: _; 1,2: 40; 2,2: _],turn_right
23,22,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 71; 2,1: 26; 0,2: _; 1,2: _; 2,2: 40],move_forward
23,23,right,[0,0: _; 1,0: _; 2,0: 26; 0,1: _; 1,1: 71; 2,1: _; 0,2: 1; 1,2: 72; 2,2: _],turn_left
23,23,up,[0,0: _; 1,0: _; 2,0: 26; 0,1: _; 1,1: 71; 2,1: _; 0,2: 1; 1,2: 72; 2,2: _],move_forward
24,23,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: 40; 0,2: 72; 1,2: _; 2,2: 1],turn_left
24,23,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: 40; 0,2: 72; 1,2: _; 2,2: 1],move_forward
24,22,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: 40],move_forward
24,21,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 71; 2,1: 13; 0,2: _; 1,2: _; 2,2: _],move_forward
24,20,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
24,19,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
24,19,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
25,19,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,19,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,19,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
27,19,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
27,18,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
27,17,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,16,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,15,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
27,14,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,13,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,12,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,11,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,10,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
27,9,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
27,8,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,7,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,6,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
27,5,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
27,4,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
27,3,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,2,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 71; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
27,1,left,[0,0: _; 1,0: 32; 2,0: 1; 0,1: _; 1,1: 71; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
