17,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 73; 2,1: _; 0,2: _; 1,2: _; 2,2: 41],move_forward
17,18,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 73; 2,1: _; 0,2: 1; 1,2: _; 2,2: 41],move_forward
17,19,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 73; 2,1: _; 0,2: _; 1,2: 1; 2,2: 41],turn_right
17,19,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 73; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
17,19,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 73; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
17,18,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 73; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
17,17,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 73; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
17,16,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 73; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
17,15,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 73; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
17,15,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 73; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
16,15,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 73; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
16,15,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 73; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
16,16,right,[0,0: 1; 1,0: _; 2,0: 99; 0,1: _; 1,1: 73; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
16,16,down,[0,0: 1; 1,0: 99; 2,0: _; 0,1: _; 1,1: 73; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
15,16,down,[0,0: _; 1,0: 1; 2,0: 99; 0,1: _; 1,1: 73; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
