10,1,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 74; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
10,2,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 74; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
10,2,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 74; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
10,2,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 74; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
10,2,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 74; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
10,2,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 74; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
10,2,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 74; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
11,2,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 74; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
12,2,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 74; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
13,2,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 74; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
14,2,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 74; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
15,2,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 74; 2,1: 1; 0,2: _; 1,2: _; 2,2: 12],turn_left
15,2,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 74; 2,1: 1; 0,2: _; 1,2: _; 2,2: 12],move_forward
15,1,left,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 74; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
15,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 74; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
15,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 74; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
15,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 74; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
15,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 74; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
15,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 74; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
15,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 74; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
15,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 74; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
15,1,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 74; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
15,2,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 74; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
