65,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 75; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
65,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 75; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],turn_right
65,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 75; 2,1: 1; 0,2: null; 1,2: null; 2,2: null],move_forward
64,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 75; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
63,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 75; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
62,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 75; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
61,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 75; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
60,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 75; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
60,49,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 75; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
60,48,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 75; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
60,47,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 75; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
60,47,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 75; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
60,47,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 75; 2,1: _; 0,2: _; 1,2: _; 2,2: 21],move_forward
60,48,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 75; 2,1: 21; 0,2: 1; 1,2: _; 2,2: _],move_forward
60,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 75; 2,1: 21; 0,2: null; 1,2: null; 2,2: null],turn_right
60,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 75; 2,1: 21; 0,2: null; 1,2: null; 2,2: null],turn_right
60,49,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 75; 2,1: 21; 0,2: null; 1,2: null; 2,2: null],move_forward
60,48,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 75; 2,1: _; 0,2: 1; 1,2: _; 2,2: 21],move_forward
60,47,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 75; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
60,47,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 75; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
