82,37,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
82,38,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
82,39,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
82,40,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
82,41,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 78; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
82,42,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
82,43,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 78; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
82,44,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
82,44,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
82,44,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
82,44,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
82,44,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
82,43,left,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 78; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
82,42,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
82,41,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 78; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
82,40,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
82,39,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
82,38,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
82,37,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
82,36,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 78; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
82,35,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
82,34,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
82,33,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
82,32,left,[0,0: 24; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
82,31,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
82,31,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
81,31,down,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: 24; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
81,31,left,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: 24; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
81,31,down,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: 24; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
81,31,right,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: 24; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
81,32,right,[0,0: 24; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
81,33,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
81,34,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
81,35,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
81,36,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
81,36,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
80,36,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
80,36,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
80,35,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
80,34,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
80,33,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 78; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
