5,16,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,18,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,19,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
5,20,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
5,21,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,22,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
5,23,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
5,23,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
5,23,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
5,22,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
5,21,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,20,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
5,19,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
5,18,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: 14; 1,2: _; 2,2: _],move_forward
5,17,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,16,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
5,16,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
6,16,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
7,16,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 83; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
8,16,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 83; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
8,16,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 83; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
