0,5,right,[0,0: null; 1,0: _; 2,0: 1; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,6,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,7,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,8,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,9,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,10,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,11,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,12,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,13,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,14,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: 1; 2,2: _],turn_left
0,14,up,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 84; 2,1: _; 0,2: null; 1,2: 1; 2,2: _],move_forward
1,14,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 84; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
2,14,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 84; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
3,14,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 84; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
