45,48,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
45,49,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
45,49,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
45,49,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
45,49,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
45,49,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
45,49,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
45,49,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
45,48,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
45,47,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
45,46,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_right
45,46,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
46,46,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
47,46,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
48,46,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
49,46,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
50,46,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
51,46,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 85; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
52,46,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 85; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
52,46,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 85; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
52,47,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
52,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
52,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
52,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
51,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
50,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
49,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
48,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 29; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
48,49,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
48,48,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: _; 2,2: 29],turn_left
48,48,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: 29; 2,2: _],move_forward
47,48,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: 29; 2,2: _],move_forward
46,48,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: 29; 2,2: _],move_forward
45,48,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: 1; 1,2: 29; 2,2: _],turn_right
45,48,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: 1; 1,2: 29; 2,2: _],move_forward
45,47,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 85; 2,1: _; 0,2: 1; 1,2: 29; 2,2: _],move_forward
45,46,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: 1; 1,2: 29; 2,2: _],turn_right
45,46,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: 1; 1,2: 29; 2,2: _],move_forward
46,46,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: 29; 2,2: _],move_forward
47,46,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: 29; 2,2: 1],move_forward
48,46,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: 29; 1,2: 1; 2,2: _],move_forward
49,46,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
50,46,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 85; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
51,46,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 85; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
52,46,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 85; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
