62,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
62,1,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 86; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
62,1,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 86; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
61,1,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 86; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],turn_right
61,1,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 86; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
61,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_right
61,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
62,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
63,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
63,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
63,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
63,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
63,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
62,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
61,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
60,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
59,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
58,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: _; 0,2: _; 1,2: 22; 2,2: _],move_forward
57,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 86; 2,1: 22; 0,2: _; 1,2: _; 2,2: _],move_forward
