31,5,right,[0,0: 1; 1,0: 19; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
31,6,right,[0,0: _; 1,0: 19; 2,0: _; 0,1: 1; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
31,7,right,[0,0: 1; 1,0: 19; 2,0: _; 0,1: _; 1,1: 87; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
31,8,right,[0,0: _; 1,0: 19; 2,0: 1; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,9,right,[0,0: _; 1,0: 19; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,10,right,[0,0: _; 1,0: 19; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
31,10,down,[0,0: _; 1,0: 19; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
30,10,down,[0,0: _; 1,0: 19; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
29,10,down,[0,0: _; 1,0: 19; 2,0: _; 0,1: 1; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
29,10,left,[0,0: 19; 1,0: _; 2,0: _; 0,1: 1; 1,1: 87; 2,1: 32; 0,2: _; 1,2: _; 2,2: _],move_forward
29,9,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: 1; 1,2: 32; 2,2: _],move_forward
29,8,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,7,left,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,6,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 87; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
29,5,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 87; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],turn_right
29,5,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 87; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
30,5,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
31,5,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
32,5,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
32,5,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
32,4,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
32,3,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
32,2,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
32,1,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
32,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
32,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
32,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: 1; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
32,1,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: 32; 1,2: _; 2,2: _],move_forward
32,2,right,[0,0: 32; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
32,3,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
32,4,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
32,5,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
32,6,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
32,6,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
33,6,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
34,6,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 87; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
34,6,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 87; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
34,7,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
34,8,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
34,9,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
34,10,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
34,10,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 87; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
