49,34,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_left
49,34,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
50,34,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_right
50,34,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
50,35,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 88; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
50,36,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 88; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
50,37,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,38,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,39,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
50,40,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 88; 2,1: _; 0,2: _; 1,2: 16; 2,2: _],turn_right
50,40,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 88; 2,1: _; 0,2: 16; 1,2: _; 2,2: _],turn_right
50,40,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,39,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
50,38,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,37,left,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,36,left,[0,0: 1; 1,0: _; 2,0: 52; 0,1: 1; 1,1: 88; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
50,35,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 88; 2,1: 52; 0,2: 1; 1,2: _; 2,2: 1],move_forward
50,34,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: 1; 0,2: 1; 1,2: _; 2,2: 52],move_forward
50,33,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
50,32,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,31,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,30,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
50,29,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
50,28,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
50,28,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
49,28,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
48,28,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
47,28,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
46,28,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,28,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
44,28,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
44,28,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
44,29,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 88; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
