22,28,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_right
22,28,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
21,28,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 89; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
21,28,left,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 89; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
21,27,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 89; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
21,26,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],turn_right
21,26,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
22,26,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
23,26,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 89; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
24,26,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
25,26,up,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
26,26,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
27,26,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
28,26,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,26,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
30,26,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
31,26,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: 1; 0,2: 1; 1,2: _; 2,2: 1],turn_left
31,26,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: 1; 0,2: 1; 1,2: _; 2,2: 1],move_forward
31,25,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
31,24,left,[0,0: 40; 1,0: _; 2,0: _; 0,1: 1; 1,1: 89; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
31,23,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 40; 1,1: 89; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_right
31,23,up,[0,0: 40; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
32,23,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
33,23,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
34,23,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 89; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
35,23,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_left
35,23,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_left
35,23,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
34,23,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 53; 1,1: 89; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
34,23,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 53; 1,1: 89; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
34,24,right,[0,0: 53; 1,0: _; 2,0: _; 0,1: 1; 1,1: 89; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
34,25,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
34,25,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 89; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
35,25,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_left
35,25,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
35,24,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
35,23,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_right
35,23,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_left
35,23,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_right
35,23,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_left
35,23,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_left
35,23,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 89; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
34,23,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 89; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
33,23,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 53; 1,1: 89; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
33,23,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: 53; 1,1: 89; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
