97,39,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
97,40,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
97,41,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
97,41,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
98,41,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
99,41,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],turn_left
99,41,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],move_forward
99,40,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,39,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,38,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,37,left,[0,0: _; 1,0: 1; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_right
99,37,up,[0,0: _; 1,0: 1; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_right
99,37,right,[0,0: _; 1,0: 1; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,38,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,39,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,40,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,41,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],turn_right
99,41,down,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],move_forward
98,41,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
97,41,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
96,41,down,[0,0: _; 1,0: 31; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
95,41,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 90; 2,1: 31; 0,2: _; 1,2: _; 2,2: _],turn_right
95,41,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 90; 2,1: _; 0,2: _; 1,2: _; 2,2: 31],move_forward
95,40,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_right
95,40,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
96,40,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
97,40,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
98,40,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 90; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
99,40,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_right
99,40,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,41,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],turn_left
99,41,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],turn_right
99,41,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],turn_left
99,41,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],turn_left
99,41,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],move_forward
99,40,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,39,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,38,left,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,37,left,[0,0: _; 1,0: 1; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_right
99,37,up,[0,0: _; 1,0: 1; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_right
99,37,right,[0,0: _; 1,0: 1; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,38,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,39,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,40,right,[0,0: _; 1,0: _; 2,0: null; 0,1: 91; 1,1: 90; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,41,right,[0,0: _; 1,0: 91; 2,0: null; 0,1: _; 1,1: 90; 2,1: null; 0,2: _; 1,2: 1; 2,2: null],turn_left
