56,21,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
56,21,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
56,21,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
56,21,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
56,21,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
56,20,left,[0,0: _; 1,0: 94; 2,0: _; 0,1: _; 1,1: 92; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_right
56,20,up,[0,0: 94; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_right
56,20,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
56,21,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
56,21,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
56,21,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
56,20,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
56,19,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
56,18,left,[0,0: 1; 1,0: 82; 2,0: _; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
56,18,up,[0,0: 1; 1,0: 82; 2,0: _; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
57,18,up,[0,0: _; 1,0: 82; 2,0: 1; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
58,18,up,[0,0: 82; 1,0: 1; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
59,18,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
60,18,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
61,18,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
62,18,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
63,18,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
64,18,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
65,18,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,18,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,18,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
68,18,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
68,18,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
68,17,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
68,16,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
68,15,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 92; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
68,15,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 92; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
67,15,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
67,15,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,16,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,18,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,19,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,20,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
67,21,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
67,22,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 92; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
67,23,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 92; 2,1: _; 0,2: 34; 1,2: _; 2,2: 1],move_forward
67,24,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 97; 1,1: 92; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
67,24,up,[0,0: 97; 1,0: _; 2,0: _; 0,1: _; 1,1: 92; 2,1: 1; 0,2: 54; 1,2: 1; 2,2: _],turn_left
67,24,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 54; 1,1: 92; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
