57,16,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 94; 2,1: 69; 0,2: _; 1,2: _; 2,2: 1],move_forward
57,17,right,[0,0: _; 1,0: _; 2,0: 69; 0,1: _; 1,1: 94; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
57,18,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 94; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
57,19,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 94; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
57,19,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 94; 2,1: _; 0,2: 92; 1,2: 1; 2,2: _],move_forward
56,19,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 94; 2,1: _; 0,2: _; 1,2: 92; 2,2: 1],move_forward
55,19,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 94; 2,1: _; 0,2: _; 1,2: _; 2,2: 92],move_forward
54,19,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 94; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
53,19,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 94; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
52,19,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 94; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
51,19,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 94; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
50,19,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 94; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
49,19,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 94; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
