40,16,right,[0,0: 44; 1,0: _; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
40,17,right,[0,0: 44; 1,0: _; 2,0: _; 0,1: 1; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
40,17,down,[0,0: 44; 1,0: _; 2,0: _; 0,1: 1; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
40,17,right,[0,0: _; 1,0: 44; 2,0: _; 0,1: 1; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
40,17,down,[0,0: _; 1,0: _; 2,0: 44; 0,1: 1; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
40,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
40,17,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
40,17,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
40,16,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
40,15,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
40,15,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
41,15,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: 44],move_forward
42,15,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: 44; 2,2: _],move_forward
43,15,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: 44; 1,2: _; 2,2: 1],move_forward
44,15,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
45,15,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 95; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_left
45,15,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 95; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_right
45,15,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 95; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_right
45,15,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 95; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
45,16,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,17,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,18,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,19,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_right
45,19,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 94; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],turn_right
45,19,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 94; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
45,18,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 94; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,17,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: 94; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
45,16,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 95; 2,1: _; 0,2: 94; 1,2: _; 2,2: _],move_forward
45,15,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 95; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_left
45,15,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 95; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
44,15,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
43,15,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
42,15,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
41,15,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
40,15,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 95; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
