62,37,right,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 96; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
62,38,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
62,38,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
62,38,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
62,37,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 96; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_right
62,37,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 96; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
63,37,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 96; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_left
63,37,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 96; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_left
63,37,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 96; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
62,37,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 96; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
61,37,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
60,37,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
59,37,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
58,37,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
58,37,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
58,36,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 96; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
58,36,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 96; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
57,36,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
57,36,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
57,36,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
57,36,right,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
57,36,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
57,36,right,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
57,36,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: 1; 1,1: 96; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
58,36,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 96; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
59,36,up,[0,0: 1; 1,0: _; 2,0: 55; 0,1: _; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
60,36,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
61,36,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 96; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
61,36,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 96; 2,1: 1; 0,2: 39; 1,2: _; 2,2: _],move_forward
61,35,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
61,34,left,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
61,34,down,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
60,34,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
59,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 96; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
58,34,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 55; 1,1: 96; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
58,34,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 55; 1,1: 96; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
58,33,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 55; 1,1: 96; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
