65,38,right,[0,0: 1; 1,0: 68; 2,0: _; 0,1: 1; 1,1: 97; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
65,39,right,[0,0: 1; 1,0: 68; 2,0: 1; 0,1: _; 1,1: 97; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_left
65,39,up,[0,0: 1; 1,0: 68; 2,0: 1; 0,1: _; 1,1: 97; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
66,39,up,[0,0: 68; 1,0: 1; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
67,39,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
67,39,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
67,38,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 97; 2,1: _; 0,2: 68; 1,2: _; 2,2: 1],move_forward
67,37,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 97; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
67,36,left,[0,0: _; 1,0: _; 2,0: 23; 0,1: _; 1,1: 97; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
67,35,left,[0,0: _; 1,0: 1; 2,0: 23; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
67,35,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
66,35,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
66,35,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,34,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 97; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
66,33,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
66,32,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
66,31,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,30,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
66,30,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
67,30,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 97; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
67,30,left,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 97; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
67,29,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 97; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
67,28,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
67,27,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
67,27,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
66,27,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 97; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
65,27,down,[0,0: _; 1,0: _; 2,0: 54; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
64,27,down,[0,0: 1; 1,0: _; 2,0: 101; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
63,27,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
62,27,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
61,27,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
61,27,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
61,26,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
61,25,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
61,25,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
61,25,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
61,25,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
62,25,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
63,25,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
64,25,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
65,25,up,[0,0: _; 1,0: _; 2,0: 34; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: _; 2,2: 54],move_forward
66,25,up,[0,0: _; 1,0: 34; 2,0: _; 0,1: _; 1,1: 97; 2,1: 1; 0,2: _; 1,2: 54; 2,2: 1],turn_left
66,25,left,[0,0: 34; 1,0: _; 2,0: 92; 0,1: _; 1,1: 97; 2,1: 1; 0,2: _; 1,2: 54; 2,2: 1],move_forward
66,24,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: 92; 0,2: _; 1,2: 54; 2,2: 1],move_forward
66,23,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 97; 2,1: _; 0,2: _; 1,2: 54; 2,2: 92],move_forward
