0,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,1,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,2,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: 2],move_forward
0,3,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: 2; 0,2: null; 1,2: _; 2,2: _],move_forward
0,4,right,[0,0: null; 1,0: _; 2,0: 2; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,5,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,6,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,7,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,8,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,9,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
0,9,up,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
1,9,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
2,9,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
3,9,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
4,9,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
5,9,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
